trial_number,image_width,image_height,number_of_iter,duration_ms,render_output_image
1,16,16,10,91,false
2,16,16,10,82,false
3,16,16,10,83,false
1,32,32,10,250,false
2,32,32,10,244,false
3,32,32,10,243,false
1,64,64,10,731,false
2,64,64,10,752,false
3,64,64,10,887,false
1,128,128,10,2888,false
2,128,128,10,2824,false
3,128,128,10,2760,false
1,256,256,10,11077,false
2,256,256,10,11414,false
3,256,256,10,11396,false
1,512,512,10,51969,false
2,512,512,10,51202,false
3,512,512,10,52135,false
